Auxiliary Verbs Conjugations,,,,,,,,,
Aux Verbs,Functions,MZ,RY,SS,RT,IZ,MR,Conjugation Type,Follows
る,"Spontaneuous, 
potential,
 passive, 
honorific",れ,れ,る,るる,るれ,れよ,Shimo-Nidan,"MZ of YD, NH, RH verbs"
らる,,られ,られ,らる,らるる,らるれ,られよ,,MZ of verbs other than above
,,,,,,,,,
す,"Causative,
honorific",せ,せ,す,する,すれ,せよ,,"MZ of YD, NH, RH verbs"
さす,,させ,させ,さす,さする,さすれ,させよ,,MZ of verbs other than above
しむ,,しめ,しめ,しむ,しむる,しむれ,しめよ,,MZ
,,,,,,,,,
つ,"Perfective,
certainty,
parallel",て,て,つ,つる,つれ,てよ,Shimo-Nidan,RY
ぬ,,な,に,ぬ,ぬる,ぬれ,ね,Nahen,
,,,,,,,,,
たり,"Resultative,
continuative,
perfective,
parallel",たら,たり,たり,たる,たれ,たれ,Rahen,
,,,,,,,,,
り,"Resultative,
certainty,
perfective",ら,り,り,る,れ,れ,,"IZ of YD, MZ of SH"
,,,,,,,,,
き,Personal Past,（せ）,（O）,き,し,しか,（O）,Special,RY (Special after KH and SH)
,,,,,,,,,
けり,"Hearsay past,
exclamatory recog,
direct past
",（けら）,（O）,けり,ける,けれ,（O）,Rahen,RY
,,,,,,,,,
む,"Speculation,
intention, 
appropriateness,
urging,
circumlocution,
hypothetical",（ま）,（O）,む,む,め,（O）,Yodan,MZ
,,（O）,（O）,ん,ん,（O）,（O）,,
むず,"Intention,
speculation",（O）,（O）,むず,むずる,むずれ,（O）,Sahen,
,,（O）,（O）,んず,んずる,んずれ,（O）,,
らむ,"Present speculation,
causal speculation,
hearsay,
circumlocution",（O）,（O）,らむ,らむ,らめ,（O）,Yodan,SS( RT of RH)
,,（O）,（O）,らん,らん,（O）,（O）,,
けむ,"Speculative past,
causal conjecture,
past hearsay",けま,（O）,けむ,けむ,けめ,（O）,,RY
,,（O）,（O）,けん,けん,（O）,（O）,,
めり,"Visual Supposition,
circumlocution",（O）,めり,めり,める,めれ,（O）,Rahen,SS( RT of RH)
,,,,,,,,,
べし,"Conjecture with confidance,
strong intention,
appropriateness,
advice, command,
potential",（O）,べく,べし,べき,べけれ,（O）,Ku Adj,SS( RT of RH)
,,べからず,べかり,（O）,べかる,（O）,（O）,,
らし,Evidential Supposition,（O）,（O）,らし,らし,らし,（O）,Special,
,,,,,,,,,
まし,"Counterfactual speculation, 
desire for hypothetical state,
hesitation",ませ,（O）,（O）,（O）,（O）,（O）,Special,MZ
,,ましか,（O）,まし,まし,ましか,（O）,,
なり,"Hearsay, aural supposition,
direct hearing",（O）,なり,なり,なる,なれ,（O）,Rahen,SS( RT of RH)
,,,,,,,,,
ず,negation,（な）,（に）,（O）,ぬ,ね,（O）,Special,MZ
,,（O）,ず,ず,（O）,（O）,（O）,,
,,ざら,ざり,（O）,ざる,ざれ,ざれ,,
じ,"negative speculation, 
negative intention",（O）,じ,じ,じ,（O）,（O）,Special,MZ
,,,,,,,,,
まじ,"Negative speculation,
negative intention,
inappropriateness,
negative potential,
prohibition",（O）,まじく,まじ,まじき,まじけれ,（O）,Shiku- Adj,SS ( RT of RH)
,,まじから,まじかり,（O）,まじかる,（O）,（O）,,
まほし,"First-person desire, 
third-person desire,
situational desire",（O）,まほしく,まほし,まほしき,まほしけれ,（O）,Shiku-Adj,MZ
,,まほしから,まほしかり,（O）,まほしかる,（O）,（O）,,
たし,,（O）,たく,たし,たき,たけれ,（O）,Ku-Adj,RY
,,たから,たかり,（O）,たかる,（O）,（O）,,
ナリ,"Copular, Location, naming",なら,なり,なり,なる,なれ,なれ,Nari-Adj -V,"RT, nominals"
,,（O）,に,（O）,（O）,（O）,（O）,,
タリ,Copula,たら,たり,たり,たる,たれ,たれ,Tari-Adj -V,Nominals
,,（O）,と,（O）,（O）,（O）,（O）,,
ごとし,"Comparison, Example",（O）,ごとく,ごとし,ごとき,（O）,（O）,Ku-Adj,"RT, nominals, particles no and ga"
,,,,,,,,,
ゆ,"Passive,
potential,
spontaneous",え,え,ゆ,ゆる,ゆれ,（O）,Shimo-nidan,"MZ of YD, NH, RH"
,,,,,,,,,
らゆ,,らえ,（O）,（O）,（らゆる）,（O）,（O）,,MZ of SN
,,,,,,,,,
す,light honorific,さ,し,す,す,せ,せ,Yodan,MZ of YD and SH
,,,,,,,,,
ふ,repeated action,は,ひ,ふ,ふ,へ,（O）,Yodan,MZ of YD
